region,year,value,diagnosis,region_standard
Российская Федерация,2005,147.4,alcohol,
Центральный федеральный округ,2005,141.5,alcohol,
Белгородская область,2005,99.6,alcohol,Белгородская область
Брянская область,2005,243.8,alcohol,Брянская область
Владимирская область,2005,178.3,alcohol,Владимирская область
Воронежская область,2005,154.4,alcohol,Воронежская область
Ивановская область,2005,251.1,alcohol,Ивановская область
Калужская область,2005,187.6,alcohol,Калужская область
Костромская область,2005,138.8,alcohol,Костромская область
Курская область,2005,207.7,alcohol,Курская область
Липецкая область,2005,219.8,alcohol,Липецкая область
Московская область,2005,134.4,alcohol,Московская область
Орловская область,2005,135.1,alcohol,Орловская область
Рязанская область,2005,163.2,alcohol,Рязанская область
Смоленская область,2005,227.9,alcohol,Смоленская область
Тамбовская область,2005,141.4,alcohol,Тамбовская область
Тверская область,2005,187.2,alcohol,Тверская область
Тульская область,2005,203.2,alcohol,Тульская область
Ярославская область,2005,163.4,alcohol,Ярославская область
г. Москва,2005,69.6,alcohol,Москва
Северо-Западный федеральный округ,2005,141.9,alcohol,
Республика Карелия,2005,240.2,alcohol,Республика Карелия
Республика Коми,2005,250.9,alcohol,Республика Коми
Архангельская область,2005,120.1,alcohol,Архангельская область
Ненецкий автономный округ (Архангельская область),2005,276.4,alcohol,Ненецкий автономный округ
Вологодская область,2005,150.2,alcohol,Вологодская область
Калининградская область,2005,120.6,alcohol,Калининградская область
Ленинградская область,2005,164.6,alcohol,Ленинградская область
Мурманская область,2005,156.9,alcohol,Мурманская область
Новгородская область,2005,243.8,alcohol,Новгородская область
Псковская область,2005,195.7,alcohol,Псковская область
г. Санкт-Петербург,2005,77.3,alcohol,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2005,119.3,alcohol,
Республика Адыгея (Адыгея) (до 03.06.2014),2005,120.6,alcohol,Республика Адыгея
Республика Калмыкия,2005,98.9,alcohol,Республика Калмыкия
Краснодарский край,2005,111.6,alcohol,Краснодарский край
Астраханская область,2005,137.1,alcohol,Астраханская область
Волгоградская область,2005,156.6,alcohol,Волгоградская область
Ростовская область,2005,102.5,alcohol,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2005,57.5,alcohol,
Республика Дагестан,2005,36.8,alcohol,Республика Дагестан
Республика Ингушетия,2005,2.7,alcohol,Республика Ингушетия
Кабардино-Балкарская Республика,2005,90.2,alcohol,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2005,59.8,alcohol,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2005,57.6,alcohol,Республика Северная Осетия - Алания
Чеченская Республика,2005,0.0,alcohol,Чеченская Республика
Ставропольский край,2005,66.7,alcohol,Ставропольский край
Приволжский федеральный округ,2005,157.1,alcohol,
Республика Башкортостан,2005,133.4,alcohol,Республика Башкортостан
Республика Марий Эл,2005,151.9,alcohol,Республика Марий Эл
Республика Мордовия,2005,208.4,alcohol,Республика Мордовия
Республика Татарстан (Татарстан),2005,112.9,alcohol,Республика Татарстан
Удмуртская Республика,2005,133.2,alcohol,Удмуртская Республика
Чувашская Республика - Чувашия,2005,187.8,alcohol,Чувашская Республика
Пермский край,2005,241.6,alcohol,Пермский край
Кировская область,2005,196.1,alcohol,Кировская область
Нижегородская область,2005,140.9,alcohol,Нижегородская область
Оренбургская область,2005,177.7,alcohol,Оренбургская область
Пензенская область,2005,214.1,alcohol,Пензенская область
Самарская область,2005,130.4,alcohol,Самарская область
Саратовская область,2005,120.8,alcohol,Саратовская область
Ульяновская область,2005,187.8,alcohol,Ульяновская область
Уральский федеральный округ,2005,150.5,alcohol,
Курганская область,2005,169.0,alcohol,Курганская область
Свердловская область,2005,129.9,alcohol,Свердловская область
Тюменская область,2005,163.1,alcohol,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2005,165.4,alcohol,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2005,213.1,alcohol,Ямало-Ненецкий автономный округ
Челябинская область,2005,159.2,alcohol,Челябинская область
Сибирский федеральный округ,2005,174.3,alcohol,
Республика Алтай,2005,200.3,alcohol,Республика Алтай
Республика Тыва,2005,173.7,alcohol,Республика Тыва
Республика Хакасия,2005,177.2,alcohol,Республика Хакасия
Алтайский край,2005,227.6,alcohol,Алтайский край
Красноярский край,2005,188.9,alcohol,Красноярский край
Иркутская область,2005,323.9,alcohol,Иркутская область
Кемеровская область,2005,155.9,alcohol,Кемеровская область
Новосибирская область,2005,104.9,alcohol,Новосибирская область
Омская область,2005,72.8,alcohol,Омская область
Томская область,2005,136.0,alcohol,Томская область
Дальневосточный федеральный округ,2005,231.0,alcohol,
Республика Бурятия,2005,73.5,alcohol,Республика Бурятия
Республика Саха (Якутия),2005,303.7,alcohol,Республика Саха (Якутия)
Забайкальский край,2005,187.8,alcohol,Забайкальский край
Камчатский край,2005,174.5,alcohol,Камчатский край
Приморский край,2005,119.9,alcohol,Приморский край
Хабаровский край,2005,189.2,alcohol,Хабаровский край
Амурская область,2005,174.3,alcohol,Амурская область
Магаданская область,2005,581.1,alcohol,Магаданская область
Сахалинская область,2005,619.5,alcohol,Сахалинская область
Еврейская автономная область,2005,167.3,alcohol,Еврейская автономная область
Чукотский автономный округ,2005,847.5,alcohol,Чукотский автономный округ
Российская Федерация,2006,135.3,alcohol,
Центральный федеральный округ,2006,131.1,alcohol,
Белгородская область,2006,93.2,alcohol,Белгородская область
Брянская область,2006,231.8,alcohol,Брянская область
Владимирская область,2006,161.5,alcohol,Владимирская область
Воронежская область,2006,172.4,alcohol,Воронежская область
Ивановская область,2006,204.9,alcohol,Ивановская область
Калужская область,2006,161.5,alcohol,Калужская область
Костромская область,2006,130.8,alcohol,Костромская область
Курская область,2006,209.0,alcohol,Курская область
Липецкая область,2006,207.1,alcohol,Липецкая область
Московская область,2006,118.7,alcohol,Московская область
Орловская область,2006,126.0,alcohol,Орловская область
Рязанская область,2006,145.0,alcohol,Рязанская область
Смоленская область,2006,204.3,alcohol,Смоленская область
Тамбовская область,2006,136.0,alcohol,Тамбовская область
Тверская область,2006,183.7,alcohol,Тверская область
Тульская область,2006,171.6,alcohol,Тульская область
Ярославская область,2006,143.8,alcohol,Ярославская область
г. Москва,2006,66.9,alcohol,Москва
Северо-Западный федеральный округ,2006,129.1,alcohol,
Республика Карелия,2006,239.2,alcohol,Республика Карелия
Республика Коми,2006,208.4,alcohol,Республика Коми
Архангельская область,2006,115.2,alcohol,Архангельская область
Ненецкий автономный округ (Архангельская область),2006,321.6,alcohol,Ненецкий автономный округ
Вологодская область,2006,131.2,alcohol,Вологодская область
Калининградская область,2006,109.9,alcohol,Калининградская область
Ленинградская область,2006,144.7,alcohol,Ленинградская область
Мурманская область,2006,141.3,alcohol,Мурманская область
Новгородская область,2006,225.6,alcohol,Новгородская область
Псковская область,2006,178.3,alcohol,Псковская область
г. Санкт-Петербург,2006,72.9,alcohol,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2006,112.7,alcohol,
Республика Адыгея (Адыгея) (до 03.06.2014),2006,126.7,alcohol,Республика Адыгея
Республика Калмыкия,2006,92.7,alcohol,Республика Калмыкия
Краснодарский край,2006,99.1,alcohol,Краснодарский край
Астраханская область,2006,166.0,alcohol,Астраханская область
Волгоградская область,2006,137.9,alcohol,Волгоградская область
Ростовская область,2006,100.9,alcohol,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2006,49.0,alcohol,
Республика Дагестан,2006,37.7,alcohol,Республика Дагестан
Республика Ингушетия,2006,2.9,alcohol,Республика Ингушетия
Кабардино-Балкарская Республика,2006,85.8,alcohol,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2006,69.8,alcohol,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2006,66.4,alcohol,Республика Северная Осетия - Алания
Чеченская Республика,2006,25.1,alcohol,Чеченская Республика
Ставропольский край,2006,58.8,alcohol,Ставропольский край
Приволжский федеральный округ,2006,148.9,alcohol,
Республика Башкортостан,2006,130.4,alcohol,Республика Башкортостан
Республика Марий Эл,2006,144.5,alcohol,Республика Марий Эл
Республика Мордовия,2006,176.4,alcohol,Республика Мордовия
Республика Татарстан (Татарстан),2006,108.4,alcohol,Республика Татарстан
Удмуртская Республика,2006,117.9,alcohol,Удмуртская Республика
Чувашская Республика - Чувашия,2006,178.7,alcohol,Чувашская Республика
Пермский край,2006,241.7,alcohol,Пермский край
Кировская область,2006,148.6,alcohol,Кировская область
Нижегородская область,2006,124.5,alcohol,Нижегородская область
Оренбургская область,2006,167.6,alcohol,Оренбургская область
Пензенская область,2006,234.0,alcohol,Пензенская область
Самарская область,2006,133.3,alcohol,Самарская область
Саратовская область,2006,114.3,alcohol,Саратовская область
Ульяновская область,2006,169.5,alcohol,Ульяновская область
Уральский федеральный округ,2006,143.3,alcohol,
Курганская область,2006,173.5,alcohol,Курганская область
Свердловская область,2006,107.3,alcohol,Свердловская область
Тюменская область,2006,166.5,alcohol,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2006,165.2,alcohol,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2006,175.6,alcohol,Ямало-Ненецкий автономный округ
Челябинская область,2006,157.9,alcohol,Челябинская область
Сибирский федеральный округ,2006,151.2,alcohol,
Республика Алтай,2006,240.6,alcohol,Республика Алтай
Республика Тыва,2006,95.5,alcohol,Республика Тыва
Республика Хакасия,2006,168.2,alcohol,Республика Хакасия
Алтайский край,2006,202.4,alcohol,Алтайский край
Красноярский край,2006,173.5,alcohol,Красноярский край
Иркутская область,2006,222.5,alcohol,Иркутская область
Кемеровская область,2006,143.4,alcohol,Кемеровская область
Новосибирская область,2006,102.2,alcohol,Новосибирская область
Омская область,2006,79.4,alcohol,Омская область
Томская область,2006,132.2,alcohol,Томская область
Дальневосточный федеральный округ,2006,214.1,alcohol,
Республика Бурятия,2006,68.6,alcohol,Республика Бурятия
Республика Саха (Якутия),2006,292.9,alcohol,Республика Саха (Якутия)
Забайкальский край,2006,161.5,alcohol,Забайкальский край
Камчатский край,2006,184.4,alcohol,Камчатский край
Приморский край,2006,129.6,alcohol,Приморский край
Хабаровский край,2006,166.4,alcohol,Хабаровский край
Амурская область,2006,159.0,alcohol,Амурская область
Магаданская область,2006,536.9,alcohol,Магаданская область
Сахалинская область,2006,506.2,alcohol,Сахалинская область
Еврейская автономная область,2006,193.5,alcohol,Еврейская автономная область
Чукотский автономный округ,2006,552.4,alcohol,Чукотский автономный округ
Российская Федерация,2007,123.1,alcohol,
Центральный федеральный округ,2007,120.3,alcohol,
Белгородская область,2007,84.0,alcohol,Белгородская область
Брянская область,2007,242.0,alcohol,Брянская область
Владимирская область,2007,147.1,alcohol,Владимирская область
Воронежская область,2007,141.7,alcohol,Воронежская область
Ивановская область,2007,184.2,alcohol,Ивановская область
Калужская область,2007,164.3,alcohol,Калужская область
Костромская область,2007,115.5,alcohol,Костромская область
Курская область,2007,186.2,alcohol,Курская область
Липецкая область,2007,200.1,alcohol,Липецкая область
Московская область,2007,105.3,alcohol,Московская область
Орловская область,2007,115.0,alcohol,Орловская область
Рязанская область,2007,133.9,alcohol,Рязанская область
Смоленская область,2007,204.9,alcohol,Смоленская область
Тамбовская область,2007,142.4,alcohol,Тамбовская область
Тверская область,2007,156.0,alcohol,Тверская область
Тульская область,2007,148.1,alcohol,Тульская область
Ярославская область,2007,164.0,alcohol,Ярославская область
г. Москва,2007,58.7,alcohol,Москва
Северо-Западный федеральный округ,2007,114.0,alcohol,
Республика Карелия,2007,201.8,alcohol,Республика Карелия
Республика Коми,2007,180.4,alcohol,Республика Коми
Архангельская область,2007,102.5,alcohol,Архангельская область
Ненецкий автономный округ (Архангельская область),2007,290.5,alcohol,Ненецкий автономный округ
Вологодская область,2007,126.7,alcohol,Вологодская область
Калининградская область,2007,96.2,alcohol,Калининградская область
Ленинградская область,2007,146.0,alcohol,Ленинградская область
Мурманская область,2007,124.1,alcohol,Мурманская область
Новгородская область,2007,222.4,alcohol,Новгородская область
Псковская область,2007,163.4,alcohol,Псковская область
г. Санкт-Петербург,2007,53.4,alcohol,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2007,101.2,alcohol,
Республика Адыгея (Адыгея) (до 03.06.2014),2007,102.0,alcohol,Республика Адыгея
Республика Калмыкия,2007,90.8,alcohol,Республика Калмыкия
Краснодарский край,2007,105.1,alcohol,Краснодарский край
Астраханская область,2007,130.3,alcohol,Астраханская область
Волгоградская область,2007,113.6,alcohol,Волгоградская область
Ростовская область,2007,82.7,alcohol,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2007,46.7,alcohol,
Республика Дагестан,2007,32.7,alcohol,Республика Дагестан
Республика Ингушетия,2007,0.0,alcohol,Республика Ингушетия
Кабардино-Балкарская Республика,2007,80.7,alcohol,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2007,67.0,alcohol,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2007,72.1,alcohol,Республика Северная Осетия - Алания
Чеченская Республика,2007,39.3,alcohol,Чеченская Республика
Ставропольский край,2007,51.3,alcohol,Ставропольский край
Приволжский федеральный округ,2007,136.4,alcohol,
Республика Башкортостан,2007,122.8,alcohol,Республика Башкортостан
Республика Марий Эл,2007,149.5,alcohol,Республика Марий Эл
Республика Мордовия,2007,172.3,alcohol,Республика Мордовия
Республика Татарстан (Татарстан),2007,88.6,alcohol,Республика Татарстан
Удмуртская Республика,2007,113.3,alcohol,Удмуртская Республика
Чувашская Республика - Чувашия,2007,165.8,alcohol,Чувашская Республика
Пермский край,2007,185.6,alcohol,Пермский край
Кировская область,2007,142.0,alcohol,Кировская область
Нижегородская область,2007,119.4,alcohol,Нижегородская область
Оренбургская область,2007,149.6,alcohol,Оренбургская область
Пензенская область,2007,230.6,alcohol,Пензенская область
Самарская область,2007,117.5,alcohol,Самарская область
Саратовская область,2007,123.9,alcohol,Саратовская область
Ульяновская область,2007,167.6,alcohol,Ульяновская область
Уральский федеральный округ,2007,138.0,alcohol,
Курганская область,2007,158.7,alcohol,Курганская область
Свердловская область,2007,112.3,alcohol,Свердловская область
Тюменская область,2007,152.1,alcohol,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2007,160.4,alcohol,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2007,172.9,alcohol,Ямало-Ненецкий автономный округ
Челябинская область,2007,151.1,alcohol,Челябинская область
Сибирский федеральный округ,2007,133.2,alcohol,
Республика Алтай,2007,186.7,alcohol,Республика Алтай
Республика Тыва,2007,65.4,alcohol,Республика Тыва
Республика Хакасия,2007,108.8,alcohol,Республика Хакасия
Алтайский край,2007,173.9,alcohol,Алтайский край
Красноярский край,2007,180.8,alcohol,Красноярский край
Иркутская область,2007,184.4,alcohol,Иркутская область
Кемеровская область,2007,125.6,alcohol,Кемеровская область
Новосибирская область,2007,86.5,alcohol,Новосибирская область
Омская область,2007,59.1,alcohol,Омская область
Томская область,2007,104.5,alcohol,Томская область
Дальневосточный федеральный округ,2007,190.7,alcohol,
Республика Бурятия,2007,72.9,alcohol,Республика Бурятия
Республика Саха (Якутия),2007,272.2,alcohol,Республика Саха (Якутия)
Забайкальский край,2007,165.5,alcohol,Забайкальский край
Камчатский край,2007,179.9,alcohol,Камчатский край
Приморский край,2007,120.4,alcohol,Приморский край
Хабаровский край,2007,126.0,alcohol,Хабаровский край
Амурская область,2007,120.9,alcohol,Амурская область
Магаданская область,2007,493.5,alcohol,Магаданская область
Сахалинская область,2007,482.4,alcohol,Сахалинская область
Еврейская автономная область,2007,180.0,alcohol,Еврейская автономная область
Чукотский автономный округ,2007,549.9,alcohol,Чукотский автономный округ
Российская Федерация,2008,122.2,alcohol,
Центральный федеральный округ,2008,119.8,alcohol,
Белгородская область,2008,92.3,alcohol,Белгородская область
Брянская область,2008,225.8,alcohol,Брянская область
Владимирская область,2008,145.0,alcohol,Владимирская область
Воронежская область,2008,156.1,alcohol,Воронежская область
Ивановская область,2008,181.9,alcohol,Ивановская область
Калужская область,2008,165.5,alcohol,Калужская область
Костромская область,2008,107.8,alcohol,Костромская область
Курская область,2008,204.9,alcohol,Курская область
Липецкая область,2008,184.1,alcohol,Липецкая область
Московская область,2008,109.7,alcohol,Московская область
Орловская область,2008,109.8,alcohol,Орловская область
Рязанская область,2008,127.1,alcohol,Рязанская область
Смоленская область,2008,192.9,alcohol,Смоленская область
Тамбовская область,2008,142.2,alcohol,Тамбовская область
Тверская область,2008,149.3,alcohol,Тверская область
Тульская область,2008,169.3,alcohol,Тульская область
Ярославская область,2008,144.1,alcohol,Ярославская область
г. Москва,2008,55.7,alcohol,Москва
Северо-Западный федеральный округ,2008,112.2,alcohol,
Республика Карелия,2008,185.3,alcohol,Республика Карелия
Республика Коми,2008,219.2,alcohol,Республика Коми
Архангельская область,2008,89.8,alcohol,Архангельская область
Ненецкий автономный округ (Архангельская область),2008,304.6,alcohol,Ненецкий автономный округ
Вологодская область,2008,123.7,alcohol,Вологодская область
Калининградская область,2008,101.0,alcohol,Калининградская область
Ленинградская область,2008,127.9,alcohol,Ленинградская область
Мурманская область,2008,131.1,alcohol,Мурманская область
Новгородская область,2008,206.3,alcohol,Новгородская область
Псковская область,2008,181.5,alcohol,Псковская область
г. Санкт-Петербург,2008,51.1,alcohol,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2008,100.1,alcohol,
Республика Адыгея (Адыгея) (до 03.06.2014),2008,132.8,alcohol,Республика Адыгея
Республика Калмыкия,2008,111.3,alcohol,Республика Калмыкия
Краснодарский край,2008,96.7,alcohol,Краснодарский край
Астраханская область,2008,116.1,alcohol,Астраханская область
Волгоградская область,2008,116.0,alcohol,Волгоградская область
Ростовская область,2008,86.6,alcohol,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2008,49.0,alcohol,
Республика Дагестан,2008,31.9,alcohol,Республика Дагестан
Республика Ингушетия,2008,0.6,alcohol,Республика Ингушетия
Кабардино-Балкарская Республика,2008,81.6,alcohol,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2008,81.9,alcohol,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2008,78.8,alcohol,Республика Северная Осетия - Алания
Чеченская Республика,2008,40.0,alcohol,Чеченская Республика
Ставропольский край,2008,55.6,alcohol,Ставропольский край
Приволжский федеральный округ,2008,131.6,alcohol,
Республика Башкортостан,2008,113.4,alcohol,Республика Башкортостан
Республика Марий Эл,2008,143.2,alcohol,Республика Марий Эл
Республика Мордовия,2008,166.6,alcohol,Республика Мордовия
Республика Татарстан (Татарстан),2008,77.8,alcohol,Республика Татарстан
Удмуртская Республика,2008,116.2,alcohol,Удмуртская Республика
Чувашская Республика - Чувашия,2008,167.0,alcohol,Чувашская Республика
Пермский край,2008,178.9,alcohol,Пермский край
Кировская область,2008,148.8,alcohol,Кировская область
Нижегородская область,2008,111.5,alcohol,Нижегородская область
Оренбургская область,2008,147.9,alcohol,Оренбургская область
Пензенская область,2008,228.8,alcohol,Пензенская область
Самарская область,2008,118.9,alcohol,Самарская область
Саратовская область,2008,118.2,alcohol,Саратовская область
Ульяновская область,2008,161.1,alcohol,Ульяновская область
Уральский федеральный округ,2008,138.3,alcohol,
Курганская область,2008,153.3,alcohol,Курганская область
Свердловская область,2008,122.0,alcohol,Свердловская область
Тюменская область,2008,149.8,alcohol,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2008,159.5,alcohol,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2008,158.9,alcohol,Ямало-Ненецкий автономный округ
Челябинская область,2008,143.4,alcohol,Челябинская область
Сибирский федеральный округ,2008,139.2,alcohol,
Республика Алтай,2008,132.6,alcohol,Республика Алтай
Республика Тыва,2008,99.4,alcohol,Республика Тыва
Республика Хакасия,2008,122.0,alcohol,Республика Хакасия
Алтайский край,2008,199.8,alcohol,Алтайский край
Красноярский край,2008,165.2,alcohol,Красноярский край
Иркутская область,2008,185.9,alcohol,Иркутская область
Кемеровская область,2008,116.8,alcohol,Кемеровская область
Новосибирская область,2008,94.7,alcohol,Новосибирская область
Омская область,2008,100.5,alcohol,Омская область
Томская область,2008,101.0,alcohol,Томская область
Дальневосточный федеральный округ,2008,180.7,alcohol,
Республика Бурятия,2008,103.5,alcohol,Республика Бурятия
Республика Саха (Якутия),2008,286.8,alcohol,Республика Саха (Якутия)
Забайкальский край,2008,149.3,alcohol,Забайкальский край
Камчатский край,2008,169.2,alcohol,Камчатский край
Приморский край,2008,111.8,alcohol,Приморский край
Хабаровский край,2008,133.8,alcohol,Хабаровский край
Амурская область,2008,113.3,alcohol,Амурская область
Магаданская область,2008,528.0,alcohol,Магаданская область
Сахалинская область,2008,329.7,alcohol,Сахалинская область
Еврейская автономная область,2008,253.9,alcohol,Еврейская автономная область
Чукотский автономный округ,2008,527.1,alcohol,Чукотский автономный округ
Российская Федерация,2009,112.5,alcohol,
Центральный федеральный округ,2009,109.6,alcohol,
Белгородская область,2009,94.3,alcohol,Белгородская область
Брянская область,2009,180.2,alcohol,Брянская область
Владимирская область,2009,140.5,alcohol,Владимирская область
Воронежская область,2009,141.6,alcohol,Воронежская область
Ивановская область,2009,157.7,alcohol,Ивановская область
Калужская область,2009,136.8,alcohol,Калужская область
Костромская область,2009,104.6,alcohol,Костромская область
Курская область,2009,173.0,alcohol,Курская область
Липецкая область,2009,170.3,alcohol,Липецкая область
Московская область,2009,96.1,alcohol,Московская область
Орловская область,2009,136.5,alcohol,Орловская область
Рязанская область,2009,111.8,alcohol,Рязанская область
Смоленская область,2009,169.8,alcohol,Смоленская область
Тамбовская область,2009,115.8,alcohol,Тамбовская область
Тверская область,2009,132.3,alcohol,Тверская область
Тульская область,2009,137.8,alcohol,Тульская область
Ярославская область,2009,129.4,alcohol,Ярославская область
г. Москва,2009,62.0,alcohol,Москва
Северо-Западный федеральный округ,2009,106.6,alcohol,
Республика Карелия,2009,208.8,alcohol,Республика Карелия
Республика Коми,2009,188.2,alcohol,Республика Коми
Архангельская область,2009,96.5,alcohol,Архангельская область
Ненецкий автономный округ (Архангельская область),2009,289.4,alcohol,Ненецкий автономный округ
Вологодская область,2009,104.2,alcohol,Вологодская область
Калининградская область,2009,109.2,alcohol,Калининградская область
Ленинградская область,2009,109.4,alcohol,Ленинградская область
Мурманская область,2009,140.0,alcohol,Мурманская область
Новгородская область,2009,180.3,alcohol,Новгородская область
Псковская область,2009,180.5,alcohol,Псковская область
г. Санкт-Петербург,2009,48.7,alcohol,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2009,94.6,alcohol,
Республика Адыгея (Адыгея) (до 03.06.2014),2009,132.7,alcohol,Республика Адыгея
Республика Калмыкия,2009,117.1,alcohol,Республика Калмыкия
Краснодарский край,2009,90.3,alcohol,Краснодарский край
Астраханская область,2009,134.5,alcohol,Астраханская область
Волгоградская область,2009,102.6,alcohol,Волгоградская область
Ростовская область,2009,79.8,alcohol,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2009,44.1,alcohol,
Республика Дагестан,2009,31.3,alcohol,Республика Дагестан
Республика Ингушетия,2009,0.4,alcohol,Республика Ингушетия
Кабардино-Балкарская Республика,2009,88.8,alcohol,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2009,68.6,alcohol,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2009,64.4,alcohol,Республика Северная Осетия - Алания
Чеченская Республика,2009,20.2,alcohol,Чеченская Республика
Ставропольский край,2009,52.4,alcohol,Ставропольский край
Приволжский федеральный округ,2009,120.3,alcohol,
Республика Башкортостан,2009,106.1,alcohol,Республика Башкортостан
Республика Марий Эл,2009,125.6,alcohol,Республика Марий Эл
Республика Мордовия,2009,140.8,alcohol,Республика Мордовия
Республика Татарстан (Татарстан),2009,75.0,alcohol,Республика Татарстан
Удмуртская Республика,2009,114.1,alcohol,Удмуртская Республика
Чувашская Республика - Чувашия,2009,136.6,alcohol,Чувашская Республика
Пермский край,2009,161.3,alcohol,Пермский край
Кировская область,2009,134.9,alcohol,Кировская область
Нижегородская область,2009,101.6,alcohol,Нижегородская область
Оренбургская область,2009,133.2,alcohol,Оренбургская область
Пензенская область,2009,199.9,alcohol,Пензенская область
Самарская область,2009,108.0,alcohol,Самарская область
Саратовская область,2009,119.8,alcohol,Саратовская область
Ульяновская область,2009,144.4,alcohol,Ульяновская область
Уральский федеральный округ,2009,132.1,alcohol,
Курганская область,2009,150.6,alcohol,Курганская область
Свердловская область,2009,127.2,alcohol,Свердловская область
Тюменская область,2009,133.3,alcohol,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2009,146.7,alcohol,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2009,145.3,alcohol,Ямало-Ненецкий автономный округ
Челябинская область,2009,131.9,alcohol,Челябинская область
Сибирский федеральный округ,2009,124.2,alcohol,
Республика Алтай,2009,118.1,alcohol,Республика Алтай
Республика Тыва,2009,99.2,alcohol,Республика Тыва
Республика Хакасия,2009,115.5,alcohol,Республика Хакасия
Алтайский край,2009,177.9,alcohol,Алтайский край
Красноярский край,2009,141.3,alcohol,Красноярский край
Иркутская область,2009,164.4,alcohol,Иркутская область
Кемеровская область,2009,103.9,alcohol,Кемеровская область
Новосибирская область,2009,80.6,alcohol,Новосибирская область
Омская область,2009,105.9,alcohol,Омская область
Томская область,2009,102.3,alcohol,Томская область
Дальневосточный федеральный округ,2009,168.4,alcohol,
Республика Бурятия,2009,71.4,alcohol,Республика Бурятия
Республика Саха (Якутия),2009,275.3,alcohol,Республика Саха (Якутия)
Забайкальский край,2009,135.2,alcohol,Забайкальский край
Камчатский край,2009,204.1,alcohol,Камчатский край
Приморский край,2009,102.5,alcohol,Приморский край
Хабаровский край,2009,121.7,alcohol,Хабаровский край
Амурская область,2009,115.5,alcohol,Амурская область
Магаданская область,2009,388.6,alcohol,Магаданская область
Сахалинская область,2009,302.5,alcohol,Сахалинская область
Еврейская автономная область,2009,230.0,alcohol,Еврейская автономная область
Чукотский автономный округ,2009,422.0,alcohol,Чукотский автономный округ
Российская Федерация,2010,108.5,alcohol,
Центральный федеральный округ,2010,103.3,alcohol,
Белгородская область,2010,86.4,alcohol,Белгородская область
Брянская область,2010,180.6,alcohol,Брянская область
Владимирская область,2010,135.0,alcohol,Владимирская область
Воронежская область,2010,130.9,alcohol,Воронежская область
Ивановская область,2010,167.6,alcohol,Ивановская область
Калужская область,2010,128.5,alcohol,Калужская область
Костромская область,2010,113.8,alcohol,Костромская область
Курская область,2010,132.9,alcohol,Курская область
Липецкая область,2010,137.4,alcohol,Липецкая область
