region,year,population,region_standard
Оренбургская область,2020,2122459.0,Оренбургская область
Пензенская область,2020,1431060.0,Пензенская область
Самарская область,2020,3225275.0,Самарская область
Саратовская область,2020,2615575.0,Саратовская область
Ульяновская область,2020,1354580.0,Ульяновская область
Уральский федеральный округ,2020,12205194.0,
Курганская область,2020,981029.0,Курганская область
Свердловская область,2020,4394041.0,Свердловская область
Тюменская область,2020,3288337.0,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2020,1462194.0,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2020,514581.0,Ямало-Ненецкий автономный округ
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2020,1311562.0,Тюменская область
Челябинская область,2020,3541787.0,Челябинская область
Сибирский федеральный округ,2020,19676568.0,
Республика Алтай,2020,202333.0,Республика Алтай
Республика Тыва,2020,304066.0,Республика Тыва
Республика Хакасия,2020,537973.0,Республика Хакасия
Алтайский край,2020,2539430.0,Алтайский край
Красноярский край,2020,2901930.0,Красноярский край
Иркутская область,2020,2524080.0,Иркутская область
Кемеровская область - Кузбасс,2020,2832963.0,Кемеровская область
Новосибирская область,2020,2665984.0,Новосибирская область
Омская область,2020,2034091.0,Омская область
Томская область,2020,1029944.0,Томская область
Дальневосточный федеральный округ,2020,6537601.0,
Республика Бурятия,2020,970994.0,Республика Бурятия
Забайкальский край,2020,1132780.0,Забайкальский край
Республика Саха (Якутия),2020,953170.0,Республика Саха (Якутия)
Камчатский край,2020,343908.0,Камчатский край
Приморский край,2020,2028377.0,Приморский край
Хабаровский край,2020,1396800.0,Хабаровский край
Амурская область,2020,874018.0,Амурская область
Магаданская область,2020,173937.0,Магаданская область
Сахалинская область,2020,529813.0,Сахалинская область
Еврейская автономная область,2020,185763.0,Еврейская автономная область
Чукотский автономный округ,2020,51815.0,Чукотский автономный округ
