region,year,welfare_percent,region_standard
"Кабардино-Балкарская
Республика",2016,14.8,
"Карачаево-Черкесская
Республика",2016,15.8,
"Республика Северная
Осетия-Алания",2016,15.1,
Чеченская Республика,2016,20.9,Чеченская Республика
Ставропольский край,2016,19.4,Ставропольский край
Республика Башкортостан,2016,12.7,Республика Башкортостан
Республика Марий Эл,2016,15.2,Республика Марий Эл
Республика Мордовия,2016,13.3,Республика Мордовия
Республика Татарстан,2016,9.6,Республика Татарстан
Удмуртская Республика,2016,13.7,Удмуртская Республика
Чувашская Республика,2016,25.7,Чувашская Республика
Пермский край,2016,17.9,Пермский край
Кировская область,2016,18.4,Кировская область
Нижегородская область,2016,18.2,Нижегородская область
Оренбургская область,2016,27.5,Оренбургская область
Пензенская область,2016,16.0,Пензенская область
Самарская область,2016,20.3,Самарская область
Саратовская область,2016,19.9,Саратовская область
Ульяновская область,2016,20.3,Ульяновская область
Курганская область,2016,16.8,Курганская область
Свердловская область,2016,17.0,Свердловская область
Тюменская область,2016,18.5,Тюменская область
Челябинская область,2016,16.7,Челябинская область
"Ханты-Мансийский 
автономный округ - Югра",2016,12.7,
"Ямало-Ненецкий 
автономный округ",2016,12.0,
Республика Алтай,2016,13.0,Республика Алтай
Республика Тыва,2016,15.0,Республика Тыва
Республика Хакасия,2016,13.1,Республика Хакасия
Алтайский край,2016,20.4,Алтайский край
Красноярский край,2016,15.4,Красноярский край
Иркутская область,2016,15.3,Иркутская область
Кемеровская область,2016,16.8,Кемеровская область
Новосибирская область,2016,18.1,Новосибирская область
Омская область,2016,19.7,Омская область
Томская область,2016,16.1,Томская область
Республика Бурятия,2016,15.5,Республика Бурятия
Республика Саха (Якутия),2016,11.5,Республика Саха (Якутия)
Забайкальский край,2016,17.2,Забайкальский край
Камчатский край,2016,12.6,Камчатский край
Приморский край,2016,15.2,Приморский край
Хабаровский край,2016,17.4,Хабаровский край
Амурская область,2016,28.9,Амурская область
Магаданская область,2016,10.6,Магаданская область
Сахалинская область,2016,9.9,Сахалинская область
Еврейская автономная область,2016,17.7,Еврейская автономная область
Чукотский автономный округ,2016,6.5,Чукотский автономный округ
Российская Федерация,2017,20.4,
Белгородская область,2017,16.4,Белгородская область
Брянская область,2017,24.7,Брянская область
Владимирская область,2017,24.0,Владимирская область
Воронежская область,2017,22.8,Воронежская область
Ивановская область,2017,28.7,Ивановская область
Калужская область,2017,18.6,Калужская область
Костромская область,2017,22.2,Костромская область
Курская область,2017,24.7,Курская область
Липецкая область,2017,21.4,Липецкая область
Московская область,2017,18.6,Московская область
Орловская область,2017,26.9,Орловская область
Рязанская область,2017,23.0,Рязанская область
Смоленская область,2017,25.5,Смоленская область
Тамбовская область,2017,22.4,Тамбовская область
Тверская область,2017,23.1,Тверская область
Тульская область,2017,25.1,Тульская область
Ярославская область,2017,23.3,Ярославская область
г. Москва,2017,15.8,Москва
Республика Карелия,2017,29.6,Республика Карелия
Республика Коми,2017,23.9,Республика Коми
Архангельская область,2017,24.8,Архангельская область
Вологодская область,2017,28.9,Вологодская область
Калининградская область,2017,9.7,Калининградская область
Ленинградская область,2017,17.1,Ленинградская область
Мурманская область,2017,25.9,Мурманская область
Новгородская область,2017,25.0,Новгородская область
Псковская область,2017,23.8,Псковская область
г. Санкт-Петербург,2017,12.8,Санкт-Петербург
Ненецкий автономный округ,2017,16.9,Ненецкий автономный округ
Республика Адыгея,2017,24.4,Республика Адыгея
Республика Калмыкия,2017,25.0,Республика Калмыкия
Республика Крым,2017,13.6,Республика Крым
Краснодарский край,2017,23.3,Краснодарский край
Астраханская область,2017,27.7,Астраханская область
Волгоградская область,2017,24.7,Волгоградская область
Ростовская область,2017,26.2,Ростовская область
г. Севастополь,2017,13.3,Севастополь
Республика Дагестан,2017,27.3,Республика Дагестан
Республика Ингушетия,2017,30.8,Республика Ингушетия
"Кабардино-Балкарская
Республика",2017,25.4,
"Карачаево-Черкесская
Республика",2017,24.6,
"Республика Северная
Осетия-Алания",2017,26.3,
Чеченская Республика,2017,28.2,Чеченская Республика
Ставропольский край,2017,29.4,Ставропольский край
Республика Башкортостан,2017,22.9,Республика Башкортостан
Республика Марий Эл,2017,24.2,Республика Марий Эл
Республика Мордовия,2017,19.2,Республика Мордовия
Республика Татарстан,2017,14.2,Республика Татарстан
Удмуртская Республика,2017,22.3,Удмуртская Республика
