region_standard,year,total,18_30,31_40,41_50,51_60,60_
Магаданская область,2019,4996.166666666667,338.8333333333333,583.75,677.8333333333334,981.25,2414.5
Магаданская область,2020,5034.583333333333,324.6666666666667,588.4166666666666,694.8333333333334,950.0,2476.6666666666665
Магаданская область,2021,4954.916666666667,335.6666666666667,574.6666666666666,722.0,901.0,2421.5833333333335
Москва,2017,1056878.4166666667,30908.416666666668,42347.75,65747.33333333333,158559.0,759315.9166666666
Москва,2018,1040547.6666666666,30112.833333333332,43497.833333333336,65331.583333333336,151752.0,749853.4166666666
Москва,2019,1021982.5833333334,28735.083333333332,43749.25,64451.666666666664,143273.33333333334,741773.25
Москва,2020,991724.6666666666,28924.5,44482.5,64597.166666666664,135048.33333333334,718672.1666666666
Москва,2021,950767.0833333334,29871.083333333332,45090.166666666664,65112.416666666664,127551.25,683142.1666666666
Московская область,2017,426313.0833333333,17846.333333333332,25424.333333333332,33384.0,72172.16666666667,277486.25
Московская область,2018,426113.9166666667,17109.416666666668,26106.5,34175.0,70129.25,278593.75
Московская область,2019,421247.0,16528.666666666668,26331.416666666668,35136.833333333336,67882.33333333333,275367.75
Московская область,2020,412642.4166666667,15927.25,26297.166666666668,35589.166666666664,65010.5,269818.3333333333
Московская область,2021,399921.6666666667,15970.166666666666,26277.25,36466.333333333336,62186.166666666664,259021.75
Мурманская область,2017,29210.916666666668,1629.8333333333333,2288.8333333333335,2961.5,4807.083333333333,17523.666666666668
Мурманская область,2018,28440.833333333332,1535.8333333333333,2333.1666666666665,3005.25,4639.75,16926.833333333332
Мурманская область,2019,28502.666666666668,1505.0,2396.0,3120.6666666666665,4471.75,17009.25
Мурманская область,2020,28342.583333333332,1506.6666666666667,2444.75,3250.75,4408.916666666667,16731.5
Мурманская область,2021,27412.0,1540.25,2445.3333333333335,3329.3333333333335,4309.833333333333,15787.25
Ненецкий автономный округ,2017,2915.5,147.33333333333334,205.75,277.6666666666667,554.1666666666666,1730.5833333333333
Ненецкий автономный округ,2018,2905.0833333333335,132.66666666666666,214.83333333333334,281.6666666666667,537.1666666666666,1738.75
Ненецкий автономный округ,2019,2918.75,131.5,221.83333333333334,293.9166666666667,520.75,1750.75
Ненецкий автономный округ,2020,2919.0,134.0,213.58333333333334,312.0,496.5833333333333,1762.8333333333333
Ненецкий автономный округ,2021,2827.75,130.83333333333334,207.66666666666666,320.3333333333333,453.75,1715.1666666666667
Нижегородская область,2017,300189.8333333333,10556.5,14012.166666666666,18668.0,44603.25,212349.91666666666
Нижегородская область,2018,292650.6666666667,9930.166666666666,14168.333333333334,18850.25,42463.083333333336,207238.83333333334
Нижегородская область,2019,288279.5833333333,9499.25,14331.333333333334,19469.25,40565.833333333336,204413.91666666666
Нижегородская область,2020,280884.75,9302.583333333334,14363.666666666666,19890.583333333332,38199.833333333336,199128.08333333334
Нижегородская область,2021,269291.25,9353.916666666666,14402.25,20265.833333333332,36015.166666666664,189254.08333333334
Новгородская область,2017,63250.833333333336,2287.4166666666665,3564.8333333333335,4644.166666666667,10963.583333333334,41790.833333333336
Новгородская область,2018,60766.166666666664,2089.0,3543.0,4473.333333333333,10189.333333333334,40471.5
Новгородская область,2019,58243.666666666664,1942.9166666666667,3463.8333333333335,4334.666666666667,9195.083333333334,39307.166666666664
Новгородская область,2020,55812.25,1845.8333333333333,3402.1666666666665,4311.916666666667,8401.916666666666,37850.416666666664
Новгородская область,2021,53225.083333333336,1804.5833333333333,3355.5,4388.416666666667,7749.916666666667,35926.666666666664
Новосибирская область,2017,185238.08333333334,9156.666666666666,14377.333333333334,16362.083333333334,33626.25,111715.75
Новосибирская область,2018,173231.25,8144.583333333333,13767.166666666666,15913.0,30010.5,105396.0
Новосибирская область,2019,183277.16666666666,8252.333333333334,14708.833333333334,17493.833333333332,30466.5,112355.66666666667
Новосибирская область,2020,183045.16666666666,8016.25,15011.666666666666,18355.0,29327.166666666668,112335.08333333333
Новосибирская область,2021,180314.08333333334,7925.0,15115.666666666666,19291.083333333332,28183.916666666668,109798.41666666667
Омская область,2017,127808.0,6469.666666666667,10013.166666666666,11343.833333333334,24002.75,75978.58333333333
Омская область,2018,130272.5,6451.25,10592.833333333334,12095.75,23711.25,77421.41666666667
Омская область,2019,126090.08333333333,5861.416666666667,10197.833333333334,12068.166666666666,21875.833333333332,76086.83333333333
Омская область,2020,124630.5,5780.916666666667,10092.0,12424.333333333334,20853.5,75479.75
Омская область,2021,120719.83333333333,5825.75,9894.75,12716.916666666666,19748.5,72533.91666666667
Оренбургская область,2017,199210.5,7702.666666666667,10544.583333333334,13771.75,33662.916666666664,133528.58333333334
Оренбургская область,2018,192551.25,7127.333333333333,10502.166666666666,13295.083333333334,31271.0,130355.66666666667
Оренбургская область,2019,188840.41666666666,6722.25,10516.75,13375.0,29277.75,128948.66666666667
Оренбургская область,2020,184559.5,6538.25,10604.083333333334,13560.916666666666,27473.75,126382.5
Оренбургская область,2021,177664.41666666666,6644.75,10652.0,13791.583333333334,25827.0,120749.08333333333
Орловская область,2017,64363.5,2557.5833333333335,3686.3333333333335,5357.416666666667,12055.916666666666,40706.25
Орловская область,2018,62620.666666666664,2445.5,3650.25,5303.5,11218.25,40003.166666666664
Орловская область,2019,61428.833333333336,2400.4166666666665,3700.4166666666665,5337.75,10477.666666666666,39512.583333333336
Орловская область,2020,59752.75,2343.25,3698.1666666666665,5317.333333333333,9745.333333333334,38648.666666666664
Орловская область,2021,57100.166666666664,2316.0,3620.75,5315.25,9005.666666666666,36842.5
Пензенская область,2017,98086.5,3779.8333333333335,5678.166666666667,8031.25,17358.916666666668,63238.333333333336
Пензенская область,2018,96743.75,3558.8333333333335,5673.25,8065.25,16718.416666666668,62728.0
Пензенская область,2019,96398.08333333333,3351.5833333333335,5695.833333333333,8099.666666666667,16115.666666666666,63135.333333333336
Пензенская область,2020,94817.25,3195.1666666666665,5692.833333333333,8130.25,15331.083333333334,62467.916666666664
Пензенская область,2021,92651.75,3139.6666666666665,5645.0,8290.0,14829.25,60747.833333333336
Пермский край,2017,213914.91666666666,9032.916666666666,13385.083333333334,15633.333333333334,33011.083333333336,142852.5
Пермский край,2018,207247.66666666666,8479.916666666666,13457.25,15760.75,30635.916666666668,138913.83333333334
Пермский край,2019,202773.16666666666,8060.083333333333,13516.5,16151.666666666666,28734.75,136310.16666666666
Пермский край,2020,197570.91666666666,7815.083333333333,13461.75,16658.5,27133.0,132502.58333333334
Пермский край,2021,190384.16666666666,7794.0,13457.0,17080.333333333332,25752.0,126300.83333333333
Приморский край,2017,113293.36363636363,6084.363636363636,9664.0,11612.0,18948.636363636364,66984.36363636363
Приморский край,2018,110658.75,5614.583333333333,9564.5,11763.5,18092.666666666668,65623.5
Приморский край,2019,109685.5,5339.75,9542.0,12129.25,17468.083333333332,65206.416666666664
Приморский край,2020,107706.08333333333,5142.166666666667,9457.333333333334,12393.75,16767.333333333332,63945.5
Приморский край,2021,104235.66666666667,4982.0,9329.666666666666,12554.5,16011.916666666666,61357.583333333336
Псковская область,2017,49813.666666666664,2444.1666666666665,3729.25,4422.25,8503.583333333334,30714.416666666668
Псковская область,2018,48660.083333333336,2246.6666666666665,3760.8333333333335,4471.416666666667,8161.083333333333,30020.083333333332
Псковская область,2019,48171.666666666664,2154.3333333333335,3765.8333333333335,4564.083333333333,7851.583333333333,29835.833333333332
Псковская область,2020,47071.166666666664,2081.0833333333335,3728.1666666666665,4653.75,7482.5,29125.666666666668
Псковская область,2021,45485.083333333336,2042.0,3671.0833333333335,4747.666666666667,7135.916666666667,27888.416666666668
Республика Адыгея,2017,34271.916666666664,1580.1666666666667,2435.9166666666665,3832.0833333333335,7249.25,19174.5
Республика Адыгея,2018,33925.166666666664,1486.25,2517.6666666666665,3815.1666666666665,7083.833333333333,19022.25
Республика Адыгея,2019,33412.416666666664,1442.0,2456.5,3734.8333333333335,6856.583333333333,18922.5
Республика Адыгея,2020,32716.25,1434.4166666666667,2388.6666666666665,3678.4166666666665,6609.666666666667,18605.083333333332
Республика Адыгея,2021,31896.5,1432.75,2363.0833333333335,3697.6666666666665,6292.666666666667,18110.333333333332
Республика Алтай,2017,22718.75,1140.0,1728.9166666666667,2060.25,4376.5,13413.083333333334
Республика Алтай,2018,22216.0,1054.8333333333333,1732.4166666666667,2077.4166666666665,4059.25,13292.083333333334
Республика Алтай,2019,21617.25,958.5,1707.8333333333333,2098.9166666666665,3693.75,13158.25
Республика Алтай,2020,21076.5,899.0833333333334,1676.3333333333333,2132.9166666666665,3385.5833333333335,12982.583333333334
Республика Алтай,2021,20243.166666666668,887.1666666666666,1631.75,2130.8333333333335,3133.5833333333335,12459.833333333334
Республика Башкортостан,2017,263960.4166666667,12222.833333333334,15919.25,20252.583333333332,44906.833333333336,170658.91666666666
Республика Башкортостан,2018,256965.5,11660.666666666666,16233.75,20033.916666666668,43447.583333333336,165589.58333333334
Республика Башкортостан,2019,252701.83333333334,11195.25,16538.0,20255.083333333332,42113.5,162600.0
Республика Башкортостан,2020,246229.08333333334,11001.333333333334,16691.583333333332,20575.75,40388.0,157572.41666666666
Республика Башкортостан,2021,236689.25,11047.916666666666,16718.833333333332,20930.166666666668,38357.0,149635.33333333334
Республика Бурятия,2017,73844.83333333333,4803.5,7179.5,7596.416666666667,14917.666666666666,39347.75
Республика Бурятия,2018,73596.5,4498.75,7274.75,7767.083333333333,14190.166666666666,39865.75
Республика Бурятия,2019,74480.66666666667,4359.5,7355.25,8121.083333333333,13520.666666666666,41124.166666666664
Республика Бурятия,2020,74498.25,4262.666666666667,7306.083333333333,8384.583333333334,12950.083333333334,41594.833333333336
Республика Бурятия,2021,73129.08333333333,4237.583333333333,7164.583333333333,8624.833333333334,12248.75,40853.333333333336
Республика Дагестан,2017,279623.0833333333,37007.833333333336,40717.916666666664,58349.666666666664,73579.25,69968.41666666667
Республика Дагестан,2018,290392.5,37246.083333333336,43568.083333333336,59669.5,75833.16666666667,74075.66666666667
Республика Дагестан,2019,299620.0,36496.083333333336,43853.5,59422.5,78709.83333333333,81138.08333333333
Республика Дагестан,2020,305467.9166666667,36004.25,44953.916666666664,59120.416666666664,79320.83333333333,86068.5
Республика Дагестан,2021,309189.5,35818.666666666664,46067.25,58791.333333333336,78331.0,90181.25
Республика Ингушетия,2017,50007.0,5800.166666666667,6100.5,12172.666666666666,14884.75,11048.916666666666
Республика Ингушетия,2018,51145.5,6050.75,6170.5,11939.833333333334,15108.5,11875.916666666666
Республика Ингушетия,2019,56611.5,6520.5,7058.416666666667,13016.666666666666,16497.75,13518.166666666666
Республика Ингушетия,2020,58205.0,6904.666666666667,7225.333333333333,12846.833333333334,16541.583333333332,14686.583333333334
Республика Ингушетия,2021,59783.166666666664,7456.75,7502.666666666667,12629.416666666666,16494.666666666668,15699.666666666666
Республика Калмыкия,2017,21815.083333333332,1988.5833333333333,1905.0,2283.5,5390.166666666667,10247.833333333334
Республика Калмыкия,2018,21429.916666666668,1857.3333333333333,1890.75,2169.4166666666665,5137.25,10375.166666666666
Республика Калмыкия,2019,21396.75,1799.5833333333333,1947.25,2160.75,4920.416666666667,10568.75
Республика Калмыкия,2020,21230.166666666668,1728.4166666666667,1974.5833333333333,2155.75,4641.583333333333,10729.833333333334
Республика Калмыкия,2021,20824.833333333332,1681.25,1980.25,2205.5833333333335,4332.083333333333,10625.666666666666
Республика Карелия,2017,64917.25,2197.25,3172.8333333333335,4193.5,8543.166666666666,46810.5
Республика Карелия,2018,62833.666666666664,2094.5,3155.3333333333335,4222.083333333333,8172.083333333333,45189.666666666664
Республика Карелия,2019,61680.083333333336,2020.5,3211.5833333333335,4368.583333333333,7831.75,44247.666666666664
Республика Карелия,2020,59986.416666666664,1999.6666666666667,3270.6666666666665,4454.5,7499.583333333333,42762.0
Республика Карелия,2021,57095.416666666664,1965.0,3277.5833333333335,4547.416666666667,7075.5,40229.916666666664
Республика Коми,2017,64113.333333333336,3302.5,5396.666666666667,6343.916666666667,12880.916666666666,36189.333333333336
Республика Коми,2018,62815.583333333336,3038.1666666666665,5414.333333333333,6321.833333333333,12041.75,35999.5
Республика Коми,2019,62398.166666666664,2876.4166666666665,5380.583333333333,6393.416666666667,11373.583333333334,36374.166666666664
Республика Коми,2020,61183.083333333336,2768.0833333333335,5191.833333333333,6473.166666666667,10615.083333333334,36134.916666666664
Республика Коми,2021,59440.666666666664,2763.5,4999.0,6557.083333333333,9952.583333333334,35168.5
Республика Крым,2017,123691.66666666667,6075.75,10615.166666666666,15608.583333333334,30587.0,60805.166666666664
